Medición,Potencia mínima (mW),Potencia máxima (mW),Mide,Pico medido,V1 (mV),V2 (mV),
1,5.67,5.75,Jaz,Alto,327.5,344.4,
1,5.67,5.75,Jaz,Medio,324.4,344.4,
1,5.67,5.75,Jaz,Bajo,310.6,344.4,
1,5.67,5.75,Jorge,Alto,328.1,346.2,
1,5.67,5.75,Jorge,Medio,324.4,346.2,
1,5.67,5.75,Jorge,Bajo,310,346.2,
1,5.67,5.75,Tona,Alto,328.7,343.8,
1,5.67,5.75,Tona,Medio,323.1,343.8,
1,5.67,5.75,Tona,Bajo,309.4,343.8,
2,3.65,3.67,Jaz,Alto,219.4,224.4,
2,3.65,3.67,Jaz,Medio,201.9,224.4,
2,3.65,3.67,Jaz,Bajo,194.4,224.4,
2,3.65,3.67,Jorge,Alto,218.1,223.6,
2,3.65,3.67,Jorge,Medio,201.9,223.6,
2,3.65,3.67,Jorge,Bajo,194.4,223.6,
2,3.65,3.67,Tona,Alto,220,224.4,
2,3.65,3.67,Tona,Medio,202.5,224.4,
2,3.65,3.67,Tona,Bajo,195.6,224.4,
3,2.52,2.56,Jaz,Alto,148.1,158.1,
3,2.52,2.56,Jaz,Medio,138.8,158.1,
3,2.52,2.56,Jaz,Bajo,128.1,158.1,
3,2.52,2.56,Jorge,Alto,148.1,160,
3,2.52,2.56,Jorge,Medio,138.8,160,
3,2.52,2.56,Jorge,Bajo,129.4,160,
3,2.52,2.56,Tona,Alto,150,158.1,
3,2.52,2.56,Tona,Medio,140,158.1,
3,2.52,2.56,Tona,Bajo,129.4,158.1,
4,1.53,1.54,Jaz,Alto,93.44,97.19,
4,1.53,1.54,Jaz,Medio,87.19,97.19,
4,1.53,1.54,Jaz,Bajo,79.38,97.19,
4,1.53,1.54,Jorge,Alto,93.44,98.44,
4,1.53,1.54,Jorge,Medio,85.94,98.44,
4,1.53,1.54,Jorge,Bajo,79.38,98.44,
4,1.53,1.54,Tona,Alto,94.06,97.81,
4,1.53,1.54,Tona,Medio,86.88,97.81,
4,1.53,1.54,Tona,Bajo,80,97.81,
5,0.84,0.86,Jaz,Alto,51.56,56.56,
5,0.84,0.86,Jaz,Medio,49.69,56.56,
5,0.84,0.86,Jaz,Bajo,42.19,56.56,
5,0.84,0.86,Jorge,Alto,50.94,56.87,
5,0.84,0.86,Jorge,Medio,48.75,56.87,
5,0.84,0.86,Jorge,Bajo,42.19,56.87,
5,0.84,0.86,Tona,Alto,51.56,56.87,
5,0.84,0.86,Tona,Medio,49.37,56.87,
5,0.84,0.86,Tona,Bajo,42.19,56.87,
6,0.55,0.56,Jaz,Alto,35,39.06,
6,0.55,0.56,Jaz,Medio,33.12,39.06,
6,0.55,0.56,Jaz,Bajo,27.5,39.06,
6,0.55,0.56,Jorge,Alto,34.69,38.44,
6,0.55,0.56,Jorge,Medio,32.5,38.44,
6,0.55,0.56,Jorge,Bajo,27.5,38.44,
6,0.55,0.56,Tona,Alto,35,38.44,
6,0.55,0.56,Tona,Medio,32.81,38.44,
6,0.55,0.56,Tona,Bajo,27.81,38.44,
7,0.41,0.42,Jaz,Alto,27.34,30,
7,0.41,0.42,Jaz,Medio,24.53,30,
7,0.41,0.42,Jaz,Bajo,20.16,30,
7,0.41,0.42,Jorge,Alto,26.72,30.16,
7,0.41,0.42,Jorge,Medio,24.22,30.16,
7,0.41,0.42,Jorge,Bajo,20,30.16,
7,0.41,0.42,Tona,Alto,27.03,30,
7,0.41,0.42,Tona,Medio,24.53,30,
7,0.41,0.42,Tona,Bajo,20.31,30,
8,0.25,0.25,Jaz,Alto,17.81,20.47,
8,0.25,0.25,Jaz,Medio,16.72,20.47,
8,0.25,0.25,Jaz,Bajo,13.59,20.47,
8,0.25,0.25,Jorge,Alto,17.81,20.47,
8,0.25,0.25,Jorge,Medio,16.25,20.47,
8,0.25,0.25,Jorge,Bajo,13.28,20.47,
8,0.25,0.25,Tona,Alto,17.81,20.62,
8,0.25,0.25,Tona,Medio,16.56,20.62,
8,0.25,0.25,Tona,Bajo,13.44,20.62,
9,15.87,15.93,Jaz,Alto,,943.8,
9,15.87,15.93,Jaz,Medio,903.1,943.8,
9,15.87,15.93,Jaz,Bajo,896.9,943.8,
9,15.87,15.93,Jorge,Alto,,945.3,
9,15.87,15.93,Jorge,Medio,903.1,945.3,
9,15.87,15.93,Jorge,Bajo,896.9,945.3,
9,15.87,15.93,Tona,Alto,,943.8,
9,15.87,15.93,Tona,Medio,903.1,943.8,
9,15.87,15.93,Tona,Bajo,896.9,943.8,
10,15.79,15.89,Jaz,Alto,,939.1,
10,15.79,15.89,Jaz,Medio,901.6,939.1,
10,15.79,15.89,Jaz,Bajo,893.8,939.1,
10,15.79,15.89,Jorge,Alto,,939.1,
10,15.79,15.89,Jorge,Medio,900,939.1,
10,15.79,15.89,Jorge,Bajo,892.2,939.1,
10,15.79,15.89,Tona,Alto,,937.5,
10,15.79,15.89,Tona,Medio,901.6,937.5,
10,15.79,15.89,Tona,Bajo,892.2,937.5,
11,15.89,15.99,Jaz,Alto,,942.2,
11,15.89,15.99,Jaz,Medio,906.2,942.2,
11,15.89,15.99,Jaz,Bajo,898.4,942.2,
11,15.89,15.99,Jorge,Alto,,943.8,
11,15.89,15.99,Jorge,Medio,906.2,943.8,
