Angulo (deg),V1 (v),V2 (v),V3 (v)
0,11.49,11.5,11.5
10,11.51,11.52,11.53
20,11.53,11.54,11.55
30,11.54,11.55,11.56
40,11.55,11.56,11.57
50,11.55,11.56,11.57
60,11.56,11.56,11.57
70,11.56,11.56,11.57
80,11.55,11.56,11.57
90,11.55,11.55,11.56
100,11.54,11.54,11.55
110,11.53,11.53,11.54
120,11.51,11.51,11.52
130,11.48,11.48,11.5
140,11.44,11.44,11.45
150,11.38,11.39,11.4
160,11.41,11.42,11.42
170,11.46,11.47,11.47
180,11.49,11.5,11.51
190,11.51,11.52,11.53
200,11.53,11.54,11.55
210,11.54,11.55,11.56
220,11.55,11.56,11.57
230,11.55,11.56,11.57
240,11.56,11.56,11.58
250,11.56,11.56,11.57
260,11.55,11.56,11.57
270,11.55,11.55,11.56
280,11.54,11.54,11.56
290,11.53,11.53,11.54
300,11.51,11.51,11.52
310,11.48,11.48,11.5
320,11.44,11.44,11.45
330,11.39,11.39,11.4
340,11.41,11.42,11.43
350,11.45,11.45,11.47
360,11.49,11.49,11.51
