Angulo (deg),V1 (v),V2 (v),V3 (v)
0,1.6,1.69,2.12
10,3.4,3.22,3.59
20,5.15,4.53,4.9
30,6.7,5.87,6.27
40,7.95,6.93,7.48
50,8.75,8.01,7.91
60,8.95,7.89,8.43
70,8.5,7.62,6.9
80,7.9,7,7.19
90,6.3,6.2,6.02
100,4.9,4.27,4.77
110,3.5,3.16,3.47
120,2.25,2,2.36
130,1.17,1.13,1.36
140,0.5,0.5,0.83
150,0.24,0.23,0.65
160,0.3,0.3,0.85
170,0.74,0.7,1.38
180,1.52,1.5,2.07
190,2.6,2.54,3.07
200,4.01,3.57,3.94
210,4.95,4.66,4.82
220,6.25,5.68,5.77
230,7.2,6.4,6.15
240,7.4,6.91,7.12
250,7.23,7.44,6.23
260,7,6.95,5.68
270,6.4,5.79,6.52
280,5.1,4.65,5.69
290,3.8,3.48,3.72
300,2.57,2.49,2.23
310,1.32,1.27,1.56
320,0.6,0.5,0.94
330,0.24,0.22,0.66
340,0.38,0.34,0.8
350,0.73,0.65,1.23
360,1.68,1.74,2.2
