z (mm),x (mm),V (v)
270,12.26,11.49
270,12.39,11.48
270,12.52,11.45
270,12.61,11.42
270,12.72,11.38
270,12.85,11.35
270,12.96,11.34
270,13.09,11.33
270,13.22,11.32
270,13.39,11.31
270,13.48,11.3
270,13.68,11.28
270,13.8,11.25
270,13.9,10.4
270,14,8.66
270,14.1,7.2
270,14.2,6.11
270,14.3,5.1
270,14.4,4.38
270,14.5,3.76
270,14.6,3.29
270,14.7,2.92
270,14.8,2.54
270,14.9,2.26
270,15,1.98
270,15.1,1.75
270,15.2,1.47
270,15.3,1.25
270,15.4,1.1
270,15.5,0.97
270,15.6,0.92
270,15.7,0.89
270,15.8,0.84
270,15.9,0.81
270,16,0.8
270,16.1,0.8
270,16.2,0.8
270,16.3,0.79
645,13.7,11.5
645,13.8,11.49
645,13.9,11.48
645,14,11.46
645,14.1,11.44
645,14.2,11.42
645,14.3,11.4
645,14.4,11.39
645,14.5,11.37
645,14.6,11.37
645,14.7,11.35
645,14.8,11.33
645,14.9,11.3
645,15,10.91
645,15.1,7.27
645,15.2,5
645,15.3,3.4
645,15.4,2.56
645,15.5,2.09
645,15.6,1.76
645,15.7,1.55
645,15.8,1.33
645,15.9,1.17
645,16,1.03
645,16.1,0.96
645,16.2,0.91
645,16.3,0.87
645,16.4,0.84
645,16.5,0.83
645,16.6,0.82
645,16.7,0.8
645,16.8,0.79
645,16.9,0.77
645,17,0.76
645,17.1,0.75
645,17.2,0.75
1000,12.8,11.51
1000,12.9,11.5
1000,13,11.5
1000,13.1,11.5
1000,13.2,11.5
1000,13.3,11.5
1000,13.4,11.5
1000,13.5,11.5
1000,13.6,11.5
1000,13.7,11.5
1000,13.8,11.49
1000,13.9,11.49
1000,14,11.48
1000,14.1,11.47
1000,14.2,11.47
1000,14.3,11.46
1000,14.4,11.45
1000,14.5,11.43
1000,14.6,11.42
1000,14.7,11.41
1000,14.8,11.39
1000,14.9,11.38
1000,15,11.37
1000,15.1,11.36
1000,15.2,11.35
1000,15.3,11.35
1000,15.4,11.33
1000,15.5,11.31
1000,15.6,11.1
1000,15.63,9.76
1000,15.65,8.31
1000,15.68,6.7
1000,15.7,5.42
1000,15.75,4.13
1000,15.8,2.94
1000,15.9,1.85
1000,16,1.43
1000,16.1,1.19
1000,16.2,0.98
1000,16.3,0.9
1000,16.4,0.83
1000,16.5,0.8
1000,16.6,0.78
1000,16.7,0.76
1000,16.8,0.75
1000,16.9,0.74
1000,17,0.73
1000,17.1,0.72
1000,17.2,0.71
1000,17.3,0.71
1000,17.4,0.68
1000,17.5,0.68
