z (mm),x (mm),V (v)
265,7.5,3.98
265,7.6,3.98
265,7.7,3.97
265,7.8,3.97
265,7.9,3.97
265,8,3.96
265,8.1,3.96
265,8.2,3.95
265,8.3,3.95
265,8.4,3.95
265,8.5,3.94
265,8.6,3.93
265,8.7,3.93
265,8.8,3.92
265,8.9,3.91
265,9,3.9
265,9.1,3.89
265,9.2,3.88
265,9.3,3.87
265,9.4,3.85
265,9.5,3.84
265,9.6,3.82
265,9.7,3.8
265,9.8,3.78
265,9.9,3.76
265,10,3.74
265,10.1,3.71
265,10.2,3.68
265,10.3,3.66
265,10.4,3.62
265,10.5,3.59
265,10.6,3.55
265,10.7,3.48
265,10.8,3.35
265,10.9,2.91
265,11,2.02
265,11.1,1.45
265,11.2,1.23
265,11.3,1.16
265,11.4,1.12
265,11.5,1.08
265,11.6,1.05
265,11.7,1.01
265,11.8,0.98
265,11.9,0.95
265,12,0.92
265,12.1,0.9
265,12.2,0.87
265,12.3,0.84
265,12.4,0.82
265,12.5,0.8
265,12.6,0.78
265,12.7,0.77
265,12.8,0.75
265,12.9,0.73
265,13,0.72
265,13.1,0.71
265,13.2,0.69
265,13.3,0.69
265,13.4,0.68
265,13.5,0.67
265,13.6,0.66
265,13.7,0.66
265,13.8,0.65
265,13.9,0.64
265,14,0.64
265,14.1,0.64
520,4.5,3.94
520,4.6,3.94
520,4.7,3.92
520,4.8,3.91
520,4.9,3.91
520,5,3.91
520,5.1,3.89
520,5.2,3.88
520,5.3,3.85
520,5.4,3.84
520,5.5,3.83
520,5.6,3.83
520,5.7,3.82
520,5.8,3.81
520,5.9,3.81
520,6,3.8
520,6.1,3.77
520,6.2,3.74
520,6.3,3.69
520,6.4,3.66
520,6.5,3.6
520,6.6,3.54
520,6.7,3.47
520,6.8,3.34
520,6.9,3.11
520,7,2.57
520,7.1,1.8
520,7.2,1.32
520,7.3,1.07
520,7.4,0.96
520,7.5,0.86
520,7.6,0.8
520,7.7,0.76
520,7.8,0.71
520,7.9,0.67
520,8,0.64
520,8.1,0.61
520,8.2,0.59
520,8.3,0.57
520,8.4,0.56
520,8.5,0.55
520,8.6,0.54
520,8.7,0.54
520,8.8,0.53
520,8.9,0.53
520,9,0.52
520,9.1,0.52
520,9.2,0.51
520,9.3,0.51
520,9.4,0.51
520,9.5,0.51
800,5,3.95
800,5.1,3.91
800,5.2,3.91
800,5.3,3.91
800,5.4,3.9
800,5.5,3.9
800,5.6,3.89
800,5.7,3.88
800,5.8,3.84
800,5.9,3.79
800,6,3.72
800,6.1,3.61
800,6.2,3.46
800,6.3,3.28
800,6.4,3.04
800,6.5,2.75
800,6.6,2.33
800,6.7,1.92
800,6.8,1.53
800,6.9,1.28
800,7,1.09
800,7.1,0.93
800,7.2,0.82
800,7.3,0.74
800,7.4,0.67
800,7.5,0.62
800,7.6,0.59
800,7.7,0.55
800,7.8,0.53
800,7.9,0.51
800,8,0.49
800,8.1,0.48
800,8.2,0.48
800,8.3,0.47
800,8.4,0.47
800,8.5,0.46
800,8.6,0.46
800,8.7,0.46
800,8.8,0.45
800,8.9,0.44
800,9,0.44
800,9.1,0.44
