Wavelength,Trace A,Trace B
1481.43,1.68E-07,6.74E-08
1481.53,1.69E-07,7.13E-08
1481.63,1.70E-07,6.72E-08
1481.73,1.69E-07,6.86E-08
1481.83,1.71E-07,6.93E-08
1481.93,1.71E-07,6.72E-08
1482.03,1.72E-07,6.85E-08
1482.13,1.72E-07,6.97E-08
1482.23,1.73E-07,7.16E-08
1482.33,1.74E-07,6.95E-08
1482.43,1.73E-07,7.03E-08
1482.53,1.74E-07,6.84E-08
1482.63,1.74E-07,7.10E-08
1482.73,1.75E-07,7.04E-08
1482.83,1.78E-07,7.08E-08
1482.93,1.78E-07,7.26E-08
1483.03,1.79E-07,7.16E-08
1483.13,1.78E-07,7.08E-08
1483.23,1.83E-07,7.37E-08
1483.33,1.83E-07,7.20E-08
1483.43,1.79E-07,7.12E-08
1483.53,1.83E-07,7.41E-08
1483.63,1.79E-07,7.30E-08
1483.73,1.84E-07,7.24E-08
1483.83,1.83E-07,7.38E-08
1483.93,1.83E-07,7.25E-08
1484.03,1.84E-07,7.50E-08
1484.13,1.85E-07,7.53E-08
1484.23,1.84E-07,7.43E-08
1484.33,1.89E-07,7.44E-08
1484.43,1.90E-07,7.35E-08
1484.53,1.88E-07,7.43E-08
1484.63,1.89E-07,7.57E-08
1484.73,1.88E-07,7.53E-08
1484.83,1.85E-07,7.56E-08
1484.93,1.94E-07,7.65E-08
1485.03,1.91E-07,7.62E-08
1485.13,1.95E-07,7.53E-08
1485.23,1.93E-07,8.04E-08
1485.33,1.93E-07,7.77E-08
1485.43,1.96E-07,7.81E-08
1485.53,1.96E-07,7.72E-08
1485.63,1.97E-07,7.78E-08
1485.73,1.99E-07,7.82E-08
1485.83,1.97E-07,7.99E-08
1485.93,1.99E-07,8.02E-08
1486.03,2.00E-07,7.97E-08
1486.13,2.03E-07,7.89E-08
1486.23,2.03E-07,8.17E-08
1486.33,1.99E-07,7.98E-08
1486.43,2.04E-07,8.30E-08
1486.53,2.08E-07,8.19E-08
1486.63,2.05E-07,8.08E-08
1486.73,2.03E-07,8.38E-08
1486.83,2.08E-07,8.36E-08
1486.93,2.07E-07,8.41E-08
1487.03,2.08E-07,8.43E-08
